Start Training ...................................

          Initializing TSN with base model: BNInception.
          TSN Configurations:
              input_modality:     RGBDiff
              num_segments:       3
              new_length:         5
              consensus_module:   avg
              dropout_ratio:      0.8
               
Load and modify the standard model FC output layer
Dropout Layer added and The modified linear layer is : Linear(in_features=1024, out_features=101, bias=True)
Done. Loading and Modifying 
 ---------------------------------------------------
Converting the ImageNet model to RGBDiff model
The modified 1st layer is Conv2d(15, 64, kernel_size=(7, 7), stride=(2, 2), padding=(3, 3))
Done. RGBDiff model is ready.
---------------------------------------------------
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 1 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 69 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 69 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 2 params, lr_mult: 1, decay_mult: 0
---------------------------------------------------
Epoch: [0][0/150], lr: 0.00100	Time 29.887 (29.887)	Data 18.132 (18.132)	Loss 4.6121 (4.6121)	Acc@1 0.000 (0.000)	Acc@5 7.812 (7.812)
Epoch: [0][20/150], lr: 0.00100	Time 16.938 (9.309)	Data 15.423 (7.419)	Loss 4.5000 (4.5623)	Acc@1 1.562 (2.530)	Acc@5 6.250 (10.789)
Epoch: [0][40/150], lr: 0.00100	Time 16.406 (9.043)	Data 14.931 (7.397)	Loss 4.1003 (4.4247)	Acc@1 15.625 (4.688)	Acc@5 35.938 (16.006)
Epoch: [0][60/150], lr: 0.00100	Time 16.728 (9.022)	Data 15.295 (7.468)	Loss 3.7222 (4.2414)	Acc@1 15.625 (7.556)	Acc@5 34.375 (21.414)
Epoch: [0][80/150], lr: 0.00100	Time 17.740 (9.007)	Data 15.948 (7.496)	Loss 3.4717 (4.0462)	Acc@1 17.188 (9.838)	Acc@5 37.500 (26.890)
Epoch: [0][100/150], lr: 0.00100	Time 16.516 (8.992)	Data 15.086 (7.510)	Loss 3.3099 (3.8856)	Acc@1 17.188 (12.376)	Acc@5 50.000 (31.451)
Epoch: [0][120/150], lr: 0.00100	Time 16.582 (8.977)	Data 14.903 (7.516)	Loss 3.0271 (3.7296)	Acc@1 23.438 (14.605)	Acc@5 50.000 (35.795)
Epoch: [0][140/150], lr: 0.00100	Time 16.805 (8.967)	Data 15.215 (7.522)	Loss 2.5238 (3.5925)	Acc@1 40.625 (16.922)	Acc@5 73.438 (39.328)
Epoch: [1][0/150], lr: 0.00100	Time 19.754 (19.754)	Data 18.368 (18.368)	Loss 2.6544 (2.6544)	Acc@1 32.812 (32.812)	Acc@5 62.500 (62.500)
Epoch: [1][20/150], lr: 0.00100	Time 15.691 (9.316)	Data 14.355 (7.967)	Loss 2.3063 (2.5812)	Acc@1 43.750 (34.077)	Acc@5 76.562 (65.179)
Epoch: [1][40/150], lr: 0.00100	Time 16.364 (8.987)	Data 14.926 (7.638)	Loss 2.1020 (2.4646)	Acc@1 51.562 (36.890)	Acc@5 75.000 (68.102)
Epoch: [1][60/150], lr: 0.00100	Time 15.734 (8.881)	Data 14.323 (7.533)	Loss 2.3444 (2.3770)	Acc@1 37.500 (38.755)	Acc@5 67.188 (69.800)
Epoch: [1][80/150], lr: 0.00100	Time 15.587 (8.824)	Data 14.270 (7.478)	Loss 2.0577 (2.3404)	Acc@1 43.750 (39.487)	Acc@5 76.562 (70.486)
Epoch: [1][100/150], lr: 0.00100	Time 16.044 (8.794)	Data 14.670 (7.441)	Loss 1.9190 (2.2825)	Acc@1 53.125 (40.780)	Acc@5 81.250 (71.952)
Epoch: [1][120/150], lr: 0.00100	Time 15.886 (8.762)	Data 14.564 (7.414)	Loss 2.8189 (2.2399)	Acc@1 28.125 (41.813)	Acc@5 57.812 (72.521)
Epoch: [1][140/150], lr: 0.00100	Time 16.223 (8.737)	Data 14.650 (7.384)	Loss 1.6334 (2.2024)	Acc@1 56.250 (42.598)	Acc@5 79.688 (73.327)
Epoch: [2][0/150], lr: 0.00100	Time 20.885 (20.885)	Data 19.254 (19.254)	Loss 1.7758 (1.7758)	Acc@1 46.875 (46.875)	Acc@5 79.688 (79.688)
Epoch: [2][20/150], lr: 0.00100	Time 16.070 (9.075)	Data 14.246 (7.703)	Loss 1.5543 (1.8219)	Acc@1 54.688 (51.562)	Acc@5 87.500 (81.176)
Epoch: [2][40/150], lr: 0.00100	Time 15.223 (8.701)	Data 13.885 (7.337)	Loss 1.9110 (1.8127)	Acc@1 45.312 (51.601)	Acc@5 79.688 (81.402)
Epoch: [2][60/150], lr: 0.00100	Time 15.689 (8.645)	Data 14.269 (7.283)	Loss 1.6214 (1.8065)	Acc@1 54.688 (51.895)	Acc@5 87.500 (81.455)
Epoch: [2][80/150], lr: 0.00100	Time 15.263 (8.584)	Data 13.867 (7.223)	Loss 1.5597 (1.7696)	Acc@1 54.688 (52.913)	Acc@5 84.375 (81.809)
Epoch: [2][100/150], lr: 0.00100	Time 16.295 (8.561)	Data 14.083 (7.193)	Loss 1.7456 (1.7325)	Acc@1 53.125 (53.496)	Acc@5 84.375 (82.395)
Epoch: [2][120/150], lr: 0.00100	Time 15.369 (8.529)	Data 13.947 (7.167)	Loss 1.3101 (1.7137)	Acc@1 56.250 (53.951)	Acc@5 92.188 (82.864)
Epoch: [2][140/150], lr: 0.00100	Time 16.983 (8.526)	Data 15.447 (7.160)	Loss 1.6026 (1.6842)	Acc@1 54.688 (54.532)	Acc@5 84.375 (83.322)
Epoch: [3][0/150], lr: 0.00100	Time 20.175 (20.175)	Data 18.617 (18.617)	Loss 1.5938 (1.5938)	Acc@1 54.688 (54.688)	Acc@5 87.500 (87.500)
Epoch: [3][20/150], lr: 0.00100	Time 16.319 (8.896)	Data 14.360 (7.526)	Loss 1.3816 (1.4366)	Acc@1 64.062 (60.714)	Acc@5 84.375 (86.830)
Epoch: [3][40/150], lr: 0.00100	Time 15.942 (8.609)	Data 14.509 (7.245)	Loss 1.2686 (1.4002)	Acc@1 62.500 (60.671)	Acc@5 89.062 (87.614)
Epoch: [3][60/150], lr: 0.00100	Time 16.776 (8.538)	Data 14.208 (7.162)	Loss 1.3086 (1.3900)	Acc@1 65.625 (61.066)	Acc@5 89.062 (87.884)
Epoch: [3][80/150], lr: 0.00100	Time 15.358 (8.443)	Data 13.991 (7.077)	Loss 1.1298 (1.3722)	Acc@1 68.750 (61.516)	Acc@5 92.188 (88.214)
Epoch: [3][100/150], lr: 0.00100	Time 14.849 (8.410)	Data 13.486 (7.044)	Loss 1.4421 (1.3650)	Acc@1 59.375 (61.711)	Acc@5 85.938 (88.304)
Epoch: [3][120/150], lr: 0.00100	Time 14.954 (8.400)	Data 13.651 (7.035)	Loss 1.2668 (1.3514)	Acc@1 59.375 (62.113)	Acc@5 90.625 (88.430)
Epoch: [3][140/150], lr: 0.00100	Time 15.837 (8.391)	Data 14.179 (7.021)	Loss 1.1151 (1.3536)	Acc@1 67.188 (61.990)	Acc@5 92.188 (88.331)
Epoch: [4][0/150], lr: 0.00100	Time 20.253 (20.253)	Data 18.778 (18.778)	Loss 1.2989 (1.2989)	Acc@1 62.500 (62.500)	Acc@5 90.625 (90.625)
Epoch: [4][20/150], lr: 0.00100	Time 14.253 (8.863)	Data 12.929 (7.505)	Loss 1.1751 (1.1845)	Acc@1 62.500 (66.443)	Acc@5 89.062 (90.997)
Epoch: [4][40/150], lr: 0.00100	Time 15.118 (8.521)	Data 13.739 (7.164)	Loss 1.3088 (1.2188)	Acc@1 57.812 (65.587)	Acc@5 93.750 (91.235)
Epoch: [4][60/150], lr: 0.00100	Time 14.843 (8.415)	Data 13.343 (7.051)	Loss 0.9667 (1.1769)	Acc@1 70.312 (66.624)	Acc@5 95.312 (91.368)
Epoch: [4][80/150], lr: 0.00100	Time 15.742 (8.384)	Data 14.326 (7.019)	Loss 1.1103 (1.1782)	Acc@1 70.312 (66.590)	Acc@5 93.750 (91.030)
Epoch: [4][100/150], lr: 0.00100	Time 14.957 (8.355)	Data 13.640 (6.989)	Loss 1.1709 (1.1684)	Acc@1 70.312 (66.894)	Acc@5 89.062 (91.074)
Epoch: [4][120/150], lr: 0.00100	Time 14.481 (8.335)	Data 13.208 (6.971)	Loss 1.1499 (1.1731)	Acc@1 67.188 (66.619)	Acc@5 89.062 (91.142)
Epoch: [4][140/150], lr: 0.00100	Time 14.693 (8.306)	Data 13.344 (6.941)	Loss 1.1263 (1.1735)	Acc@1 67.188 (66.600)	Acc@5 90.625 (91.035)
Test: [0/60]	Time 18.669 (18.669)	Loss 1.6143 (1.6143)	Acc@1 48.438 (48.438)	Acc@5 95.312 (95.312)
Test: [20/60]	Time 14.634 (8.590)	Loss 1.8215 (1.5037)	Acc@1 48.438 (57.440)	Acc@5 84.375 (88.542)
Test: [40/60]	Time 16.891 (8.366)	Loss 1.9261 (1.4745)	Acc@1 60.938 (59.604)	Acc@5 73.438 (86.509)
 * Acc@1 61.142 Acc@5 86.704 Loss 1.43374
Epoch: [5][0/150], lr: 0.00100	Time 19.879 (19.879)	Data 18.233 (18.233)	Loss 0.8974 (0.8974)	Acc@1 70.312 (70.312)	Acc@5 96.875 (96.875)
Epoch: [5][20/150], lr: 0.00100	Time 15.128 (8.749)	Data 13.299 (7.350)	Loss 1.3689 (1.0529)	Acc@1 56.250 (68.601)	Acc@5 87.500 (92.708)
Epoch: [5][40/150], lr: 0.00100	Time 14.366 (8.463)	Data 13.051 (7.088)	Loss 0.9239 (1.0353)	Acc@1 67.188 (69.817)	Acc@5 92.188 (92.416)
Epoch: [5][60/150], lr: 0.00100	Time 16.152 (8.378)	Data 14.584 (7.009)	Loss 1.0287 (0.9974)	Acc@1 70.312 (71.004)	Acc@5 92.188 (93.135)
Epoch: [5][80/150], lr: 0.00100	Time 14.728 (8.321)	Data 13.407 (6.958)	Loss 1.1093 (1.0143)	Acc@1 67.188 (70.698)	Acc@5 90.625 (92.631)
Epoch: [5][100/150], lr: 0.00100	Time 12.697 (8.286)	Data 11.428 (6.929)	Loss 1.0003 (1.0201)	Acc@1 65.625 (70.529)	Acc@5 93.750 (92.667)
Epoch: [5][120/150], lr: 0.00100	Time 12.863 (8.277)	Data 11.484 (6.924)	Loss 1.0404 (1.0177)	Acc@1 71.875 (70.803)	Acc@5 89.062 (92.523)
Epoch: [5][140/150], lr: 0.00100	Time 12.151 (8.265)	Data 10.875 (6.910)	Loss 1.0076 (1.0167)	Acc@1 70.312 (70.811)	Acc@5 92.188 (92.653)
Epoch: [6][0/150], lr: 0.00100	Time 20.234 (20.234)	Data 18.845 (18.845)	Loss 0.7794 (0.7794)	Acc@1 75.000 (75.000)	Acc@5 98.438 (98.438)
Epoch: [6][20/150], lr: 0.00100	Time 14.315 (8.538)	Data 12.995 (7.164)	Loss 0.9579 (0.9012)	Acc@1 73.438 (74.182)	Acc@5 95.312 (95.238)
Epoch: [6][40/150], lr: 0.00100	Time 14.878 (8.310)	Data 13.430 (6.951)	Loss 0.5892 (0.9106)	Acc@1 79.688 (74.085)	Acc@5 100.000 (94.207)
Epoch: [6][60/150], lr: 0.00100	Time 15.129 (8.205)	Data 13.802 (6.842)	Loss 0.7429 (0.8974)	Acc@1 75.000 (74.308)	Acc@5 98.438 (94.339)
Epoch: [6][80/150], lr: 0.00100	Time 15.099 (8.168)	Data 13.778 (6.813)	Loss 0.9160 (0.8906)	Acc@1 70.312 (74.576)	Acc@5 92.188 (94.290)
Epoch: [6][100/150], lr: 0.00100	Time 14.487 (8.133)	Data 12.946 (6.777)	Loss 0.8454 (0.8981)	Acc@1 76.562 (74.319)	Acc@5 92.188 (94.137)
Epoch: [6][120/150], lr: 0.00100	Time 15.978 (8.129)	Data 14.614 (6.771)	Loss 0.8605 (0.8843)	Acc@1 76.562 (74.587)	Acc@5 96.875 (94.344)
Epoch: [6][140/150], lr: 0.00100	Time 15.034 (8.104)	Data 13.718 (6.749)	Loss 0.9667 (0.8958)	Acc@1 75.000 (74.291)	Acc@5 92.188 (94.326)
Epoch: [7][0/150], lr: 0.00100	Time 19.532 (19.532)	Data 18.225 (18.225)	Loss 0.8836 (0.8836)	Acc@1 68.750 (68.750)	Acc@5 93.750 (93.750)
Epoch: [7][20/150], lr: 0.00100	Time 14.000 (8.381)	Data 12.679 (7.018)	Loss 1.0489 (0.8670)	Acc@1 62.500 (74.479)	Acc@5 92.188 (94.494)
Epoch: [7][40/150], lr: 0.00100	Time 14.394 (8.164)	Data 12.966 (6.803)	Loss 0.7043 (0.8636)	Acc@1 78.125 (74.619)	Acc@5 96.875 (94.741)
Epoch: [7][60/150], lr: 0.00100	Time 14.422 (8.101)	Data 13.095 (6.735)	Loss 0.5510 (0.8482)	Acc@1 84.375 (75.231)	Acc@5 95.312 (94.826)
Epoch: [7][80/150], lr: 0.00100	Time 14.653 (8.068)	Data 13.333 (6.701)	Loss 0.6977 (0.8215)	Acc@1 76.562 (75.772)	Acc@5 98.438 (95.197)
Epoch: [7][100/150], lr: 0.00100	Time 15.693 (8.060)	Data 13.977 (6.695)	Loss 0.6421 (0.8129)	Acc@1 79.688 (76.114)	Acc@5 93.750 (95.220)
Epoch: [7][120/150], lr: 0.00100	Time 13.478 (8.033)	Data 12.155 (6.673)	Loss 0.5121 (0.8020)	Acc@1 87.500 (76.588)	Acc@5 100.000 (95.248)
Epoch: [7][140/150], lr: 0.00100	Time 14.729 (8.039)	Data 13.395 (6.680)	Loss 0.5522 (0.8045)	Acc@1 84.375 (76.529)	Acc@5 96.875 (95.180)
Epoch: [8][0/150], lr: 0.00100	Time 19.421 (19.421)	Data 18.128 (18.128)	Loss 0.8390 (0.8390)	Acc@1 70.312 (70.312)	Acc@5 96.875 (96.875)
Epoch: [8][20/150], lr: 0.00100	Time 13.928 (8.426)	Data 12.575 (7.079)	Loss 0.8949 (0.7913)	Acc@1 70.312 (77.158)	Acc@5 93.750 (96.057)
Epoch: [8][40/150], lr: 0.00100	Time 13.453 (8.180)	Data 12.062 (6.821)	Loss 0.8670 (0.7800)	Acc@1 78.125 (77.172)	Acc@5 92.188 (95.884)
Epoch: [8][60/150], lr: 0.00100	Time 13.868 (8.071)	Data 12.581 (6.722)	Loss 0.5512 (0.7790)	Acc@1 78.125 (76.972)	Acc@5 100.000 (96.030)
Epoch: [8][80/150], lr: 0.00100	Time 15.273 (8.057)	Data 13.101 (6.700)	Loss 0.7184 (0.7696)	Acc@1 81.250 (77.296)	Acc@5 95.312 (95.968)
Epoch: [8][100/150], lr: 0.00100	Time 14.937 (8.066)	Data 13.548 (6.716)	Loss 0.8683 (0.7756)	Acc@1 73.438 (77.212)	Acc@5 93.750 (95.730)
Epoch: [8][120/150], lr: 0.00100	Time 14.674 (8.083)	Data 13.327 (6.731)	Loss 0.6954 (0.7822)	Acc@1 78.125 (76.937)	Acc@5 98.438 (95.610)
Epoch: [8][140/150], lr: 0.00100	Time 14.874 (8.105)	Data 13.509 (6.751)	Loss 1.2077 (0.7902)	Acc@1 71.875 (76.873)	Acc@5 92.188 (95.534)
Epoch: [9][0/150], lr: 0.00100	Time 20.317 (20.317)	Data 18.945 (18.945)	Loss 0.9618 (0.9618)	Acc@1 75.000 (75.000)	Acc@5 90.625 (90.625)
Epoch: [9][20/150], lr: 0.00100	Time 15.328 (8.622)	Data 13.940 (7.267)	Loss 0.8325 (0.7677)	Acc@1 71.875 (77.158)	Acc@5 95.312 (95.833)
Epoch: [9][40/150], lr: 0.00100	Time 14.728 (8.353)	Data 13.286 (6.998)	Loss 0.4824 (0.7225)	Acc@1 85.938 (78.163)	Acc@5 98.438 (96.189)
Epoch: [9][60/150], lr: 0.00100	Time 14.214 (8.304)	Data 12.703 (6.945)	Loss 0.5274 (0.7078)	Acc@1 85.938 (78.689)	Acc@5 96.875 (96.286)
Epoch: [9][80/150], lr: 0.00100	Time 14.740 (8.256)	Data 13.458 (6.896)	Loss 0.4185 (0.7053)	Acc@1 90.625 (78.858)	Acc@5 98.438 (96.296)
Epoch: [9][100/150], lr: 0.00100	Time 14.767 (8.251)	Data 13.189 (6.888)	Loss 1.0895 (0.7035)	Acc@1 71.875 (79.100)	Acc@5 92.188 (96.303)
Epoch: [9][120/150], lr: 0.00100	Time 15.872 (8.246)	Data 14.419 (6.884)	Loss 0.7670 (0.7063)	Acc@1 78.125 (79.287)	Acc@5 95.312 (96.307)
Epoch: [9][140/150], lr: 0.00100	Time 14.416 (8.224)	Data 13.093 (6.862)	Loss 0.8093 (0.7149)	Acc@1 71.875 (79.100)	Acc@5 92.188 (96.110)
Test: [0/60]	Time 18.053 (18.053)	Loss 0.6242 (0.6242)	Acc@1 78.125 (78.125)	Acc@5 96.875 (96.875)
Test: [20/60]	Time 14.555 (8.266)	Loss 2.8814 (1.2576)	Acc@1 32.812 (65.551)	Acc@5 67.188 (88.839)
Test: [40/60]	Time 15.442 (8.058)	Loss 1.5144 (1.1683)	Acc@1 62.500 (67.873)	Acc@5 84.375 (90.015)
 * Acc@1 69.151 Acc@5 90.563 Loss 1.12798
Epoch: [10][0/150], lr: 0.00100	Time 20.399 (20.399)	Data 18.930 (18.930)	Loss 0.8148 (0.8148)	Acc@1 75.000 (75.000)	Acc@5 96.875 (96.875)
Epoch: [10][20/150], lr: 0.00100	Time 14.748 (8.742)	Data 13.266 (7.400)	Loss 0.8614 (0.7080)	Acc@1 75.000 (79.315)	Acc@5 93.750 (95.536)
Epoch: [10][40/150], lr: 0.00100	Time 16.099 (8.535)	Data 14.565 (7.190)	Loss 0.7968 (0.6678)	Acc@1 76.562 (79.954)	Acc@5 93.750 (96.189)
Epoch: [10][60/150], lr: 0.00100	Time 16.218 (8.450)	Data 14.850 (7.109)	Loss 0.7193 (0.6736)	Acc@1 81.250 (79.816)	Acc@5 95.312 (96.414)
Epoch: [10][80/150], lr: 0.00100	Time 15.276 (8.411)	Data 13.815 (7.070)	Loss 0.5815 (0.6828)	Acc@1 84.375 (79.688)	Acc@5 95.312 (96.335)
Epoch: [10][100/150], lr: 0.00100	Time 15.899 (8.373)	Data 14.336 (7.032)	Loss 0.6294 (0.6864)	Acc@1 82.812 (79.641)	Acc@5 95.312 (96.318)
Epoch: [10][120/150], lr: 0.00100	Time 14.901 (8.332)	Data 13.396 (6.988)	Loss 0.4078 (0.6874)	Acc@1 90.625 (79.571)	Acc@5 96.875 (96.268)
Epoch: [10][140/150], lr: 0.00100	Time 15.384 (8.315)	Data 13.965 (6.972)	Loss 0.5893 (0.6842)	Acc@1 81.250 (79.566)	Acc@5 96.875 (96.354)
Epoch: [11][0/150], lr: 0.00100	Time 19.182 (19.182)	Data 17.851 (17.851)	Loss 0.8458 (0.8458)	Acc@1 73.438 (73.438)	Acc@5 96.875 (96.875)
Epoch: [11][20/150], lr: 0.00100	Time 13.723 (8.527)	Data 12.159 (7.140)	Loss 0.6538 (0.6246)	Acc@1 81.250 (81.994)	Acc@5 100.000 (97.098)
Epoch: [11][40/150], lr: 0.00100	Time 14.113 (8.262)	Data 12.798 (6.898)	Loss 0.4029 (0.6381)	Acc@1 92.188 (81.517)	Acc@5 95.312 (96.875)
Epoch: [11][60/150], lr: 0.00100	Time 14.297 (8.207)	Data 12.976 (6.845)	Loss 0.7224 (0.6181)	Acc@1 84.375 (82.505)	Acc@5 93.750 (96.773)
