Start Training ...................................

          Initializing TSN with base model: BNInception.
          TSN Configurations:
              input_modality:     RGBDiff
              num_segments:       7
              new_length:         5
              consensus_module:   avg
              dropout_ratio:      0.8
               
Load and modify the standard model FC output layer
Dropout Layer added and The modified linear layer is : Linear(in_features=1024, out_features=101, bias=True)
Done. Loading and Modifying 
 ---------------------------------------------------
Converting the ImageNet model to RGBDiff model
The modified 1st layer is Conv2d(15, 64, kernel_size=(7, 7), stride=(2, 2), padding=(3, 3))
Done. RGBDiff model is ready.
---------------------------------------------------
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 1 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 69 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 69 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 2 params, lr_mult: 1, decay_mult: 0
---------------------------------------------------
Epoch: [0][0/150], lr: 0.00100	Time 85.470 (85.470)	Data 63.351 (63.351)	Loss 4.6200 (4.6200)	Acc@1 0.000 (0.000)	Acc@5 0.000 (0.000)
Epoch: [0][20/150], lr: 0.00100	Time 54.695 (31.116)	Data 51.257 (27.000)	Loss 4.5138 (4.5601)	Acc@1 3.125 (2.455)	Acc@5 14.062 (8.557)
Epoch: [0][40/150], lr: 0.00100	Time 51.425 (29.738)	Data 48.146 (26.050)	Loss 3.9929 (4.3823)	Acc@1 7.812 (5.488)	Acc@5 34.375 (16.120)
Epoch: [0][60/150], lr: 0.00100	Time 51.840 (28.890)	Data 47.755 (25.360)	Loss 3.6201 (4.1569)	Acc@1 21.875 (8.837)	Acc@5 39.062 (22.823)
Epoch: [0][80/150], lr: 0.00100	Time 52.130 (28.435)	Data 48.700 (24.969)	Loss 3.1608 (3.8987)	Acc@1 17.188 (11.941)	Acc@5 48.438 (30.112)
Epoch: [0][100/150], lr: 0.00100	Time 45.154 (27.749)	Data 41.896 (24.343)	Loss 2.6529 (3.6800)	Acc@1 32.812 (15.579)	Acc@5 64.062 (35.984)
Epoch: [0][120/150], lr: 0.00100	Time 42.069 (27.092)	Data 38.486 (23.719)	Loss 2.4328 (3.4881)	Acc@1 31.250 (19.215)	Acc@5 67.188 (40.999)
Epoch: [0][140/150], lr: 0.00100	Time 34.275 (26.512)	Data 30.780 (23.168)	Loss 2.0149 (3.3082)	Acc@1 48.438 (22.374)	Acc@5 73.438 (45.833)
Epoch: [1][0/150], lr: 0.00100	Time 55.506 (55.506)	Data 51.230 (51.230)	Loss 1.9502 (1.9502)	Acc@1 43.750 (43.750)	Acc@5 79.688 (79.688)
Epoch: [1][20/150], lr: 0.00100	Time 41.767 (24.371)	Data 38.532 (21.081)	Loss 1.8678 (2.0353)	Acc@1 42.188 (46.131)	Acc@5 87.500 (77.604)
Epoch: [1][40/150], lr: 0.00100	Time 41.675 (23.485)	Data 38.480 (20.255)	Loss 1.7820 (1.9447)	Acc@1 48.438 (48.056)	Acc@5 84.375 (78.887)
Epoch: [1][60/150], lr: 0.00100	Time 44.094 (23.704)	Data 40.797 (20.490)	Loss 1.6999 (1.8336)	Acc@1 53.125 (50.487)	Acc@5 79.688 (81.019)
Epoch: [1][80/150], lr: 0.00100	Time 44.598 (23.720)	Data 41.346 (20.519)	Loss 1.0483 (1.7688)	Acc@1 71.875 (52.411)	Acc@5 89.062 (81.925)
Epoch: [1][100/150], lr: 0.00100	Time 42.703 (23.663)	Data 39.471 (20.467)	Loss 1.5798 (1.7312)	Acc@1 53.125 (53.140)	Acc@5 84.375 (82.488)
