Start Training ...................................

          Initializing TSN with base model: resnet18.
          TSN Configurations:
              input_modality:     RGB
              num_segments:       3
              new_length:         1
              consensus_module:   avg
              dropout_ratio:      0.0
               
Load and modify the standard model FC output layer
The modified linear layer is : Linear(in_features=512, out_features=101, bias=True)
Done. Loading and Modifying 
 ---------------------------------------------------
---------------------------------------------------
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 0 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 20 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 1 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 2 params, lr_mult: 1, decay_mult: 0
---------------------------------------------------
Epoch: [0][0/299], lr: 0.00100	Time 7.406 (7.406)	Data 2.671 (2.671)	Loss 4.6169 (4.6169)	Acc@1 0.000 (0.000)	Acc@5 9.375 (9.375)
Epoch: [0][20/299], lr: 0.00100	Time 0.297 (0.637)	Data 0.000 (0.127)	Loss 4.5136 (4.5849)	Acc@1 3.125 (2.083)	Acc@5 18.750 (9.673)
Epoch: [0][40/299], lr: 0.00100	Time 0.299 (0.472)	Data 0.000 (0.065)	Loss 4.1934 (4.5263)	Acc@1 9.375 (4.726)	Acc@5 25.000 (12.652)
Epoch: [0][60/299], lr: 0.00100	Time 0.303 (0.416)	Data 0.000 (0.044)	Loss 4.0039 (4.4493)	Acc@1 9.375 (7.070)	Acc@5 43.750 (16.803)
Epoch: [0][80/299], lr: 0.00100	Time 0.304 (0.388)	Data 0.000 (0.033)	Loss 3.6046 (4.2793)	Acc@1 12.500 (9.645)	Acc@5 46.875 (22.878)
Epoch: [0][100/299], lr: 0.00100	Time 0.303 (0.371)	Data 0.000 (0.027)	Loss 2.6316 (4.0304)	Acc@1 37.500 (13.026)	Acc@5 59.375 (28.899)
Epoch: [0][120/299], lr: 0.00100	Time 0.302 (0.359)	Data 0.000 (0.022)	Loss 2.6502 (3.8055)	Acc@1 37.500 (16.064)	Acc@5 62.500 (35.356)
Epoch: [0][140/299], lr: 0.00100	Time 0.301 (0.389)	Data 0.000 (0.020)	Loss 1.6329 (3.5678)	Acc@1 56.250 (20.479)	Acc@5 78.125 (40.802)
Epoch: [0][160/299], lr: 0.00100	Time 0.303 (0.378)	Data 0.000 (0.017)	Loss 1.9812 (3.3850)	Acc@1 46.875 (23.661)	Acc@5 78.125 (45.186)
Epoch: [0][180/299], lr: 0.00100	Time 0.304 (0.370)	Data 0.000 (0.016)	Loss 1.5787 (3.2149)	Acc@1 56.250 (26.761)	Acc@5 78.125 (49.016)
Epoch: [0][200/299], lr: 0.00100	Time 0.305 (0.363)	Data 0.000 (0.014)	Loss 1.4354 (3.0616)	Acc@1 59.375 (29.789)	Acc@5 87.500 (52.317)
Epoch: [0][220/299], lr: 0.00100	Time 0.305 (0.358)	Data 0.000 (0.013)	Loss 1.7901 (2.9380)	Acc@1 56.250 (31.900)	Acc@5 81.250 (54.921)
Epoch: [0][240/299], lr: 0.00100	Time 0.299 (0.355)	Data 0.000 (0.012)	Loss 1.2741 (2.8242)	Acc@1 75.000 (34.142)	Acc@5 87.500 (57.339)
Epoch: [0][260/299], lr: 0.00100	Time 0.313 (0.351)	Data 0.000 (0.011)	Loss 1.7098 (2.7182)	Acc@1 46.875 (36.123)	Acc@5 84.375 (59.650)
Epoch: [0][280/299], lr: 0.00100	Time 0.303 (0.349)	Data 0.000 (0.010)	Loss 1.8166 (2.6224)	Acc@1 43.750 (38.000)	Acc@5 81.250 (61.699)
Epoch: [1][0/299], lr: 0.00100	Time 4.814 (4.814)	Data 4.410 (4.410)	Loss 1.5158 (1.5158)	Acc@1 56.250 (56.250)	Acc@5 84.375 (84.375)
Epoch: [1][20/299], lr: 0.00100	Time 0.306 (0.523)	Data 0.000 (0.210)	Loss 1.3182 (1.1945)	Acc@1 56.250 (66.964)	Acc@5 90.625 (90.923)
Epoch: [1][40/299], lr: 0.00100	Time 0.305 (0.417)	Data 0.000 (0.108)	Loss 1.2096 (1.1755)	Acc@1 62.500 (67.683)	Acc@5 87.500 (90.854)
Epoch: [1][60/299], lr: 0.00100	Time 0.301 (0.380)	Data 0.000 (0.072)	Loss 1.1243 (1.1681)	Acc@1 62.500 (67.879)	Acc@5 96.875 (90.625)
Epoch: [1][80/299], lr: 0.00100	Time 0.302 (0.370)	Data 0.000 (0.055)	Loss 1.3505 (1.1402)	Acc@1 62.500 (68.557)	Acc@5 87.500 (90.895)
Epoch: [1][100/299], lr: 0.00100	Time 0.305 (0.358)	Data 0.000 (0.044)	Loss 1.0231 (1.1552)	Acc@1 75.000 (68.038)	Acc@5 96.875 (90.594)
Epoch: [1][120/299], lr: 0.00100	Time 0.359 (0.350)	Data 0.000 (0.037)	Loss 0.8838 (1.1274)	Acc@1 71.875 (68.647)	Acc@5 93.750 (90.987)
Epoch: [1][140/299], lr: 0.00100	Time 0.309 (0.348)	Data 0.000 (0.031)	Loss 1.0987 (1.1269)	Acc@1 59.375 (68.506)	Acc@5 96.875 (91.201)
Epoch: [1][160/299], lr: 0.00100	Time 0.303 (0.343)	Data 0.000 (0.028)	Loss 0.6313 (1.1103)	Acc@1 90.625 (68.964)	Acc@5 96.875 (91.363)
Epoch: [1][180/299], lr: 0.00100	Time 0.302 (0.349)	Data 0.000 (0.025)	Loss 0.7814 (1.0916)	Acc@1 78.125 (69.441)	Acc@5 96.875 (91.695)
Epoch: [1][200/299], lr: 0.00100	Time 0.302 (0.344)	Data 0.000 (0.022)	Loss 1.0395 (1.0785)	Acc@1 71.875 (69.854)	Acc@5 90.625 (91.729)
Epoch: [1][220/299], lr: 0.00100	Time 0.426 (0.341)	Data 0.000 (0.020)	Loss 0.7439 (1.0689)	Acc@1 81.250 (70.192)	Acc@5 96.875 (91.770)
Epoch: [1][240/299], lr: 0.00100	Time 0.312 (0.339)	Data 0.000 (0.019)	Loss 0.7363 (1.0535)	Acc@1 78.125 (70.617)	Acc@5 100.000 (91.961)
Epoch: [1][260/299], lr: 0.00100	Time 0.305 (0.336)	Data 0.000 (0.017)	Loss 0.6610 (1.0455)	Acc@1 75.000 (70.726)	Acc@5 96.875 (92.014)
Epoch: [1][280/299], lr: 0.00100	Time 0.304 (0.335)	Data 0.000 (0.016)	Loss 0.8711 (1.0375)	Acc@1 68.750 (70.952)	Acc@5 93.750 (92.071)
Epoch: [2][0/299], lr: 0.00100	Time 4.044 (4.044)	Data 3.641 (3.641)	Loss 0.9779 (0.9779)	Acc@1 75.000 (75.000)	Acc@5 93.750 (93.750)
Epoch: [2][20/299], lr: 0.00100	Time 0.305 (0.487)	Data 0.000 (0.176)	Loss 0.5396 (0.7175)	Acc@1 84.375 (78.571)	Acc@5 96.875 (95.833)
Epoch: [2][40/299], lr: 0.00100	Time 0.313 (0.399)	Data 0.000 (0.090)	Loss 0.9383 (0.7659)	Acc@1 78.125 (76.905)	Acc@5 84.375 (94.741)
Epoch: [2][60/299], lr: 0.00100	Time 0.319 (0.368)	Data 0.000 (0.061)	Loss 0.7906 (0.7729)	Acc@1 75.000 (77.408)	Acc@5 100.000 (94.775)
