Start Training ...................................

          Initializing TSN with base model: resnet18.
          TSN Configurations:
              input_modality:     RGB
              num_segments:       3
              new_length:         1
              consensus_module:   avg
              dropout_ratio:      0.8
               
Load and modify the standard model FC output layer
Dropout Layer added and The modified linear layer is : Linear(in_features=512, out_features=101, bias=True)
Done. Loading and Modifying 
 ---------------------------------------------------
---------------------------------------------------
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 0 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 20 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 1 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 2 params, lr_mult: 1, decay_mult: 0
---------------------------------------------------
Epoch: [0][0/299], lr: 0.00100	Time 7.976 (7.976)	Data 2.461 (2.461)	Loss 4.6082 (4.6082)	Acc@1 0.000 (0.000)	Acc@5 12.500 (12.500)
Epoch: [0][20/299], lr: 0.00100	Time 0.305 (0.666)	Data 0.000 (0.117)	Loss 4.5674 (4.5897)	Acc@1 3.125 (2.530)	Acc@5 9.375 (10.268)
Epoch: [0][40/299], lr: 0.00100	Time 0.300 (0.489)	Data 0.000 (0.060)	Loss 4.3437 (4.5414)	Acc@1 3.125 (4.040)	Acc@5 21.875 (13.643)
Epoch: [0][60/299], lr: 0.00100	Time 0.300 (0.428)	Data 0.000 (0.040)	Loss 4.1715 (4.4580)	Acc@1 15.625 (5.686)	Acc@5 25.000 (17.982)
Epoch: [0][80/299], lr: 0.00100	Time 0.301 (0.397)	Data 0.000 (0.031)	Loss 3.6133 (4.3085)	Acc@1 12.500 (7.562)	Acc@5 43.750 (22.724)
Epoch: [0][100/299], lr: 0.00100	Time 0.302 (0.378)	Data 0.000 (0.025)	Loss 3.2496 (4.1341)	Acc@1 18.750 (10.118)	Acc@5 53.125 (27.351)
Epoch: [0][120/299], lr: 0.00100	Time 0.315 (0.366)	Data 0.000 (0.020)	Loss 3.2879 (3.9427)	Acc@1 15.625 (12.784)	Acc@5 50.000 (31.792)
Epoch: [0][140/299], lr: 0.00100	Time 0.302 (0.361)	Data 0.000 (0.022)	Loss 2.5715 (3.7880)	Acc@1 31.250 (15.115)	Acc@5 62.500 (35.572)
Epoch: [0][160/299], lr: 0.00100	Time 0.303 (0.357)	Data 0.000 (0.019)	Loss 2.9596 (3.6402)	Acc@1 28.125 (17.255)	Acc@5 59.375 (39.266)
Epoch: [0][180/299], lr: 0.00100	Time 0.304 (0.353)	Data 0.000 (0.019)	Loss 2.4118 (3.5175)	Acc@1 31.250 (19.251)	Acc@5 62.500 (42.386)
Epoch: [0][200/299], lr: 0.00100	Time 0.316 (0.349)	Data 0.000 (0.017)	Loss 3.0107 (3.4104)	Acc@1 18.750 (21.035)	Acc@5 53.125 (44.807)
Epoch: [0][220/299], lr: 0.00100	Time 0.304 (0.357)	Data 0.000 (0.016)	Loss 2.2892 (3.3143)	Acc@1 40.625 (22.766)	Acc@5 75.000 (47.172)
Epoch: [0][240/299], lr: 0.00100	Time 0.307 (0.353)	Data 0.000 (0.015)	Loss 1.9962 (3.2302)	Acc@1 50.000 (24.261)	Acc@5 75.000 (49.287)
Epoch: [0][260/299], lr: 0.00100	Time 0.308 (0.352)	Data 0.000 (0.014)	Loss 2.0836 (3.1520)	Acc@1 43.750 (25.575)	Acc@5 75.000 (51.102)
Epoch: [0][280/299], lr: 0.00100	Time 0.305 (0.349)	Data 0.000 (0.013)	Loss 2.6864 (3.0793)	Acc@1 21.875 (26.679)	Acc@5 68.750 (52.880)
Epoch: [1][0/299], lr: 0.00100	Time 5.508 (5.508)	Data 5.113 (5.113)	Loss 1.7652 (1.7652)	Acc@1 53.125 (53.125)	Acc@5 75.000 (75.000)
Epoch: [1][20/299], lr: 0.00100	Time 0.306 (0.577)	Data 0.000 (0.256)	Loss 1.6641 (1.9162)	Acc@1 46.875 (47.917)	Acc@5 90.625 (80.208)
Epoch: [1][40/299], lr: 0.00100	Time 0.305 (0.447)	Data 0.000 (0.132)	Loss 1.6036 (1.8922)	Acc@1 68.750 (49.543)	Acc@5 84.375 (80.107)
Epoch: [1][60/299], lr: 0.00100	Time 0.308 (0.417)	Data 0.000 (0.105)	Loss 1.6544 (1.8621)	Acc@1 53.125 (50.359)	Acc@5 87.500 (80.225)
Epoch: [1][80/299], lr: 0.00100	Time 0.308 (0.391)	Data 0.000 (0.080)	Loss 2.4861 (1.8730)	Acc@1 31.250 (49.769)	Acc@5 75.000 (80.093)
Epoch: [1][100/299], lr: 0.00100	Time 0.304 (0.392)	Data 0.000 (0.064)	Loss 1.7931 (1.8505)	Acc@1 53.125 (50.217)	Acc@5 81.250 (80.198)
Epoch: [1][120/299], lr: 0.00100	Time 0.306 (0.378)	Data 0.000 (0.054)	Loss 1.4001 (1.8259)	Acc@1 65.625 (50.646)	Acc@5 87.500 (80.682)
